Date,Open,High,Low,Close,Return,Volatility
2018-04-02,,,,1000.0,,
2018-04-03,,,,1014.59,0.014590000000000103,
2018-04-04,,,,1002.67,-0.011748588099626533,
2018-04-05,,,,1029.85,0.027107622647531082,
2018-04-06,,,,1033.44,0.003485944555032372,
2018-04-09,,,,1030.84,-0.0025158693296176704,
2018-04-10,,,,1029.78,-0.001028287610104317,
2018-04-11,,,,1027.08,-0.002621919244887305,
2018-04-12,,,,1026.17,-0.0008860069322739195,
2018-04-13,,,,1037.22,0.010768196302756827,
2018-04-16,,,,1057.8,0.019841499392607043,
2018-04-17,,,,1063.33,0.0052278313480809135,
2018-04-18,,,,1061.68,-0.0015517290022851737,
2018-04-19,,,,1059.26,-0.002279406224097724,
2018-04-20,,,,1049.88,-0.008855238562770151,
2018-04-23,,,,1049.16,-0.000685792662018514,
2018-04-24,,,,1052.98,0.0036410080445308246,
2018-04-25,,,,1055.58,0.002469182700526096,
2018-04-26,,,,1057.5,0.0018189052464048228,
2018-04-27,,,,1061.75,0.004018912529550889,
2018-04-30,,,,1068.52,0.006376265599246533,
2018-05-02,,,,1065.74,-0.0026017294950023695,
2018-05-03,,,,1045.49,-0.019000882016251608,
2018-05-04,,,,1042.83,-0.0025442615424347004,
2018-05-07,,,,1039.77,-0.0029343229481314514,
2018-05-08,,,,1034.88,-0.004702963155313045,
2018-05-09,,,,1033.76,-0.00108225108225124,
2018-05-10,,,,1022.02,-0.011356601145333545,
2018-05-11,,,,1029.55,0.007367761883328994,
2018-05-14,,,,1024.17,-0.005225583993006544,
2018-05-15,,,,1019.4,-0.0046574299188612,
2018-05-16,,,,1010.29,-0.008936629389837192,
2018-05-17,,,,1003.03,-0.007186055489017962,
2018-05-18,,,,988.16,-0.014825080007577096,
2018-05-21,,,,970.58,-0.01779064119170981,
2018-05-22,,,,969.88,-0.0007212182406396428,
2018-05-23,,,,962.99,-0.007103971625355698,
2018-05-24,,,,963.71,0.0007476713153822256,
2018-05-25,,,,987.51,0.024696226043104286,
2018-05-28,,,,1014.22,0.027047827363773536,
2018-05-29,,,,1003.7,-0.010372503007237022,
2018-05-30,,,,1000.24,-0.0034472451927867187,
2018-05-31,,,,1005.18,0.0049388146844757674,
2018-06-01,,,,1000.53,-0.004626037127678617,
2018-06-04,,,,983.2,-0.017320819965418233,
2018-06-05,,,,974.65,-0.008696094385679531,
2018-06-06,,,,993.96,0.01981224029138673,
2018-06-07,,,,1005.94,0.012052798905388462,
2018-06-08,,,,1004.99,-0.000944390321490407,
2018-06-11,,,,998.23,-0.006726435088906357,
2018-06-12,,,,1002.42,0.004197429450126577,
2018-06-13,,,,996.94,-0.00546677041559418,
2018-06-14,,,,988.3,-0.00866651954982256,
2018-06-15,,,,984.37,-0.003976525346554682,
2018-06-18,,,,983.22,-0.0011682599022725393,
2018-06-19,,,,969.7,-0.013750737373120936,
2018-06-20,,,,977.76,0.008311849025471663,
2018-06-21,,,,981.32,0.0036409752904598136,
2018-06-22,,,,990.62,0.009477030937920405,
2018-06-25,,,,993.54,0.0029476489471240708,
2018-06-26,,,,990.64,-0.0029188558085230243,
2018-06-27,,,,985.22,-0.005471210530566095,
2018-06-28,,,,966.87,-0.018625281662978832,
2018-06-29,,,,967.42,0.000568845863456291,
2018-07-02,,,,958.58,-0.009137706477021279,
2018-07-03,,,,965.16,0.006864320140207214,
2018-07-04,,,,975.25,0.010454225206183443,
2018-07-05,,,,983.09,0.00803896436811069,
2018-07-06,,,,989.76,0.006784729780589638,
2018-07-09,,,,990.28,0.0005253798900743956,
2018-07-10,,,,997.11,0.006897039221230417,
2018-07-11,,,,997.22,0.00011031882139378446,
2018-07-12,,,,1004.03,0.006828984577124331,
2018-07-13,,,,993.74,-0.010248697748075242,
2018-07-16,,,,979.61,-0.01421901100891576,
2018-07-17,,,,1004.37,0.02527536468594649,
2018-07-18,,,,1016.87,0.012445612672620676,
2018-07-19,,,,1015.24,-0.0016029580969052493,
2018-07-20,,,,1014.7,-0.0005318939364090669,
2018-07-23,,,,1021.02,0.006228441904011062,
2018-07-24,,,,1040.14,0.018726371667548314,
2018-07-25,,,,1046.99,0.0065856519314706485,
2018-07-26,,,,1050.22,0.0030850342410146947,
2018-07-27,,,,1060.38,0.009674163508598177,
2018-07-30,,,,1056.8,-0.003376148173296456,
2018-07-31,,,,1037.78,-0.017997728993186968,
2018-08-01,,,,1028.59,-0.008855441423037735,
2018-08-02,,,,1031.23,0.00256662032491084,
2018-08-03,,,,1061.45,0.02930481075996627,
2018-08-06,,,,1066.97,0.005200433369447532,
2018-08-07,,,,1066.23,-0.0006935527709307499,
2018-08-08,,,,1064.34,-0.0017726006583945741,
2018-08-09,,,,1062.18,-0.0020294266869608224,
2018-08-10,,,,1049.69,-0.011758835602251994,
2018-08-13,,,,1034.7,-0.014280406596233197,
2018-08-14,,,,1045.1,0.010051222576592078,
2018-08-16,,,,1030.44,-0.01402736580231545,
2018-08-17,,,,1041.8,0.011024416754007893,
2018-08-20,,,,1053.55,0.011278556344787916,
2018-08-21,,,,1059.25,0.0054102795311090635,
2018-08-23,,,,1055.87,-0.003190936983714976,
2018-08-24,,,,1053.53,-0.0022161819163343255,
2018-08-27,,,,1045.15,-0.007954211080842377,
2018-08-28,,,,1047.34,0.0020953930057885373,
2018-08-29,,,,1049.18,0.0017568315924152422,
2018-08-30,,,,1043.68,-0.0052421891381840835,
2018-08-31,,,,1039.6,-0.003909244212785712,
2018-09-03,,,,1039.83,0.00022123893805314765,
2018-09-04,,,,1019.75,-0.019310848888760557,
2018-09-05,,,,1013.79,-0.005844569747487149,
2018-09-06,,,,1018.96,0.005099675475197074,
2018-09-07,,,,1013.81,-0.005054172882154484,
2018-09-10,,,,986.92,-0.026523707598070656,
2018-09-11,,,,969.64,-0.017509017954849382,
2018-09-12,,,,975.87,0.006425064972567229,
2018-09-14,,,,1000.23,0.024962341295459378,
2018-09-17,,,,987.45,-0.012777061275906498,
2018-09-18,,,,969.94,-0.017732543419920033,
2018-09-19,,,,963.55,-0.00658803637338401,
2018-09-21,,,,882.88,-0.08372165429920597,
